,Lewis,Hamilton,44,7/01/1985,2007,Reino Unido,3,104,2247,188,"El inglés afronta una nueva temporada con ganas de recuperar el título. Después de verse derrotado por Nico Rosberg, Hamilton tendrá que derrotar a un nuevo compañero, Valtteri Bottas. Con varios récords a su alcance, 2017 puede ser un año muy importante en la carrera del británico.","Lewis Carl Davidson Hamilton, MBE (Stevenage, Hertfordshire, Inglaterra, Reino Unido, 7 de enero de 1985) es un piloto británico de Fórmula 1. Desde 2007 hasta 2012, fue piloto de la escudería McLaren de Fórmula 1, con la cual fue campeón en 2008 y subcampeón en 2007. A partir de 2013, se convirtió en piloto de Mercedes AMG, quedando campeón en 2014 y 2015, y subcampeón en 2016. Ha logrado 53 victorias a lo largo de su carrera en la Fórmula 1 situándose en la segunda posición total de victorias conseguidas, además de 104 podios y 61 pole.",1,Hamilton
,Valtteri,Bottas,77,28/08/1989,2013,Finlandia,0,9,411,78,"El piloto finlandés está ante la mayor oportunidad de su carrera. Tras una buena etapa en Williams, sustituirá a Nico Rosberg con el reto de igualar la hazaña del alemán, superar a Lewis Hamilton y proclamarse campeón del mundo.","Valtteri Bottas (28 de agosto de 1989, Nastola, Finlandia) es un piloto de automovilismo finlandés. En la actualidad reside en Mónaco y compite para el equipo Mercedes en sustitución de Nico Rosberg, quien se retiró al final del 2016. Anteriormente compitió en Williams Racing como piloto titular desde 2013, con el que resultó cuarto en el campeonato 2014. En 2015 y 2016 vuelve a ser piloto de Williams Racing acabando 5º y 8º respectivamente.</p>
<p>En 2017, pasa a formar parte de la escudería Mercedes AMG.",1,Bottas
,Daniel,Ricciardo,3,1/07/1989,2011,Australia,0,18,616,109,"Después de superar a Max Verstappen la temporada pasada, el reto para el australiano es el de pelear cara a cara con Mercedes. Red Bull se agarra al cambio de normativa para igualar la batalla con los de Brackley. Esta es la temporada en la que Ricciardo quiere presentar su candidatura al título mundial.","Daniel Ricciardo (Perth, Australia, 1 de julio de 1989) es un piloto australiano de automovilismo de velocidad. Ganó la Fórmula 3 Británica en el año 2009. En las temporadas de 2012 y 2013, fue el primer piloto de la escudería Toro Rosso de Fórmula 1. Desde la 2014 es titular en el equipo Red Bull junto a Max Verstappen. Ha logrado cuatro victorias, una pole position y once podios en la Fórmula 1, y quedó tercero en las temporadas 2014 y 2016, solo por detrás de los Mercedes de Hamilton y Rosberg.",2,Ricciardo
,Max,Verstappen,33,30/09/1997,2015,Holanda,0,7,253,40,"El piloto holandés encara su primera temporada completa como piloto de Red Bull. Después de lograr la primera victoria de su carrera, Verstappen querrá, primero, ganar la batalla con su compañero y después aspirar a ser el campeón del mundo más joven de la historia.","Max Emilian Verstappen (Hasselt, Bélgica, 30 de septiembre de 1997) es un piloto de automovilismo neerlandés que compite para el equipo Red Bull Racing de la Fórmula 1. Es el piloto más joven en liderar una vuelta durante un Gran Premio de Fórmula 1, el ganador más joven de un gran premio (18 años 7 meses y 16 días en el Gran Premio de España 2016) , el piloto más joven en conseguir un podio y el piloto más joven en competir en la historia de esta categoría, ya que hizo su debut con 17 años y 166 días en el Gran Premio de Australia de 2015 para la Scuderia Toro Rosso.2 Es, también, el primer piloto de nacionalidad neerlandesa en subir al primer lugar del podio de la F1.",2,Verstappen
,Sebastian,Vettel,5,3/07/1987,2007,Alemania,4,86,2108,179,"Después de una decepcionante temporada, Vettel espera que su tercer año al volante de Ferrari traiga, al menos, los éxitos de 2015. Los de Maranello se vieron superados por Red Bull perdiendo el subcampeonato de constructores. El alemán quiere volver a lo más alto y confía poder hacerlo en Ferrari.","Sebastian Vettel (Heppenheim, Hesse, 3 de julio de 1987) es un piloto alemán de automovilismo de velocidad. Ha ganado cuatro títulos mundiales de Fórmula 1 con el equipo Red Bull en 2010, 2011, 2012 y 2013 más un subcampeonato en 2009. Debutó en 2007 con el equipo BMW Sauber y participó en 2008 con el equipo Toro Rosso logrando su primera victoria en el Gran Premio de Italia de 2008.</p>
<p>Se convirtió el 27 de octubre de 2013 en el piloto más joven de la historia en ser tetracampeón de la máxima categoría de automovilismo. Comenzando la temporada 2016, lleva acumuladas 42 victorias, 80 podios y 46 pole position. Es el cuarto piloto con más grandes premios ganados en la historia. Iguala a Alain Prost (4) en número de títulos mundiales, superado por Juan Manuel Fangio (5) y Michael Schumacher (7).</p>
<p>Vettel ostentaba el récord como piloto más joven en conseguir una victoria en la Fórmula 1, conseguida en el Gran Premio de Italia de 2008, aunque actualmente lo ha superado Max Verstappen al ganar en el Gran Premio de España de 2016.</p>
<p>El 26 de marzo de 2014 recibe el Premio Laureus al Mejor Deportista Masculino del Año (2013).",3,Vettel
,Kimi,Räikkönen,7,17/10/1979,2001,Finlandia,1,84,1360,253,"El finlandés volvió a ser derrotado por Sebastian Vettel, al igual que ocurrió en la primera campaña del alemán en Ferrari. Raikkonen confía en disponer de un Ferrari competitivo que le permita luchar por algo más que terceros puestos.","Kimi-Mattias Räikkönen (Espoo, 17 de octubre de 1979) es un piloto de automovilismo finlandés. Fue campeón mundial de Fórmula 1 en 2007 como piloto de Ferrari y subcampeón en 2003 y 2005 con McLaren.</p>
<p>Tras la temporada 2009, el piloto cambió de disciplina para competir en el Campeonato Mundial de Rally para Citroën. Allí logró un quinto en el Rally de Turquía de 2010 como mejor resultado. El finlandés terminó en el décimo lugar del campeonato de pilotos de 2010 y 2011. Räikkönen, Carlos Reutemann y Robert Kubica son los únicos pilotos de Fórmula 1 que han conseguido sumar puntos en el Campeonato del Mundo de Rally, siendo Reutemann el único en haber subido al podio y Räikkönen en haberlo logrado siendo campeón del mundo de F1.</p>
<p>Räikkönen retornó a la Fórmula 1 en 2012 para pilotar para Lotus, quedando tercero en el campeonato mundial de pilotos. El piloto volvió a correr con Ferrari en 2014. En su carrera en la máxima categoría de automovilismo, el finlandés ha obtenido 20 victorias y 84 podios.",3,Raikonen
,Sergio,Pérez,11,26/01/1990,2011,México,0,7,367,116,"Volverá a ejercer de jefe de filas en Force India. La temporada pasada, Checo logró dos podios muy importantes para mantener el cuarto puesto en el Mundial de constructores. La escudería india intentará darle un monoplaza capaz de competir, en mayor o menor medida, con Mercedes, Ferrari o Red Bull.","Sergio Pérez Mendoza (Guadalajara, Jalisco, México, 26 de enero de 1990) también conocido como Checo Pérez, es un piloto de automovilismo de velocidad mexicano. Está vinculado desde el 2014 al equipo Force India de Fórmula 1. También forma parte de Escudería Telmex.</p>
<p>Entre sus logros más destacados en su carrera, han sido dos segundos lugares en el Gran Premio de Malasia e Italia en 2012; en la temporada 2010 de GP2 Series, Pérez logró su primera victoria en la categoría en el Principado de Mónaco a la que siguieron otros tres triunfos. El día 4 de octubre de 2010, se confirmó que Pérez ingresa a la Fórmula 1 en la escudería Sauber para la temporada 2011 y posteriormente en la temporada 2012, con el mismo equipo, conquistó 3 podios. En 2013 pilotea con el equipo McLaren y al cierre del mismo año, se anunció como piloto oficial de Sahara Force India F1 Team con quien acumula cuatro podios.</p>
<p>Por sus logros a corta edad y a sus buenos resultados, en 2012 la alemana prensa lo denominó «The Mexican Wunderkind» (El niño prodigio mexicano).",4,Perez
,Esteban,Ocon,31,17/09/1996,2016,Francia,0,0,0,9,"Primer año para el piloto francés en Force India. Después de debutar a mitad de temporada en Manor, se prepara para su primer año completo en Fórmula 1. Los ojos de Mercedes estarán muy pendientes de su rendimiento para ver de qué es capaz con un coche competitivo.","Esteban Ocon (Évreux, 17 de septiembre de 1996) es un piloto francés de automovilismo de velocidad que corrió durante la temporada 2016 de Fórmula 1 con el equipo Manor, reemplazando a Rio Haryanto por problemas económicos a partir del GP de Bélgica. Actualmente es piloto oficial de la escudería Force India.",4,Ocon
,Felipe,Massa,19,25/04/1981,2002,Brasil,0,41,1124,251,"Después de su intento de retirada, vuelve para llenar el hueco que deja Valtteri Bottas tras su marcha a Mercedes. El brasileño ejercerá de mentor para su jovencísimo compañero, Lance Stroll. Buscará pelear por algún podio en los circuitos favorables para Williams.","Felipe Massa (São Paulo, 25 de abril de 1981) es un piloto de automovilismo de velocidad brasileño. Fue piloto de la Scuderia Ferrari de Fórmula 1 desde la temporada 2006 hasta la 2013, y es piloto oficial de Williams desde la temporada 2014. Ha obtenido 11 victorias y 40 podios a lo largo de su carrera. Además, resultó subcampeón en 2008, tercero en 2006, cuarto en 2007 y sexto en 2010, 2011 y 2015.",5,Massa
,Lance,Stroll,18,29/10/1998,2017,Canadá,0,0,0,0,El canadiense es el más joven de la parrilla. Llega desde la F3 con ganas de demostrar que está en Williams por su talento y no por el dinero que trae detrás. Tendrá en Massa un gran espejo en el que mirarse.,"Lance Stroll (29 de octubre de 1998, Montreal) es un piloto canadiense de automovilismo de velocidad. En la temporada 2017 de Fórmula 1 será piloto titular de Williams Racing.3",5,Stroll
