,Mercedes,1970,"Brackley, UK",F1 W08 EQ Power+,3,71,65,38,"Mercedes AMG Petronas Formula One Team1 (nombre comercial de Mercedes-Benz Grand Prix Limited), anteriormente conocida como Mercedes GP Petronas F1 Team es una escudería de Fórmula 1 dirigida por la empresa automovilística alemana Daimler AG, a través de su marca Mercedes-Benz. Se formó en los años 30 y participó en la Fórmula 1 en 1954 y 1955.</p>
<p>El día 16 de noviembre de 2009, con el anuncio de la compra del equipo campeón de la temporada 2009 Brawn GP, anunció su vuelta a la Fórmula 1 por parte de Mercedes a partir de 2010. Con esta adquisición, McLaren (hasta ahora ""pareja"" de la marca de la estrella en la Fórmula 1) es simplemente un equipo que recibe los motores alemanes, igualmente Mercedes-Benz venderá el 40% de las acciones que posee sobre McLaren, que serán compradas por el equipo de Woking. Estaba previsto que, para 2011, Mercedes se desvincule totalmente de McLaren en lo que respecta a la propiedad del equipo pero esto no ocurrió hasta el 2014, siendo este el último año de McLaren con un motor Mercedes.</p>
<p>El chasis y motor son construidos por Mercedes. Daimler AG es la empresa propietaria de la escudería.7 El equipo contó en sus filas con Nico Rosberg y al 7 veces campeón del mundo Michael Schumacher, lo que marcó el retorno a la categoría del múltiple campeón desde su retiro en 2006. Su director es Toto Wolff, reemplazando a Ross Brawn (2010-2013). A partir de 2013, el volante de Michael Schumacher pasó a las manos de Lewis Hamilton, quien en la temporada 2014 y 2015 se proclamó campeón del mundo.",Mercedes
,Red Bull,1997,"Milton Keynes, UK",RB13,4,99,58,52,"Red Bull Racing es una escudería de Fórmula 1 austriaca con base en Milton Keynes (Inglaterra) propiedad de la empresa de bebidas energéticas Red Bull. La compañía adquirió la escudería Jaguar Racing por cerca de 110 millones de dólares cuando la propietaria anterior de este equipo, Ford Motor Company, anunció su retirada de la máxima categoría del automovilismo. La empresa Red Bull posee un equipo filial de Fórmula 1, Scuderia Toro Rosso (""Red Bull"" traducido al italiano), con sede en Faenza (Italia), desde el que los jóvenes pilotos dan posteriormente el salto al primer equipo.",RedBull
,Ferrari,1950,"Maranello, Italy",SF70H,16,531,201,236,"Scuderia Ferrari es la división deportiva (Gestione Sportiva) de automóviles Ferrari encargada de las competencias de Fórmula 1. Ferrari Corse Clienti se encarga desde hace poco de casi todas las otras actividades deportivas de la compañía y la atención a equipos privados.</p>
<p>La primera participación de Ferrari en la Fórmula 1 fue en el Gran Premio de Mónaco de 1950, con el Tipo 125 F1. Es el equipo activo más antiguo del campeonato, y es el que ha conseguido más victorias (221), campeonatos de pilotos (15) y campeonatos de constructores (16). Ha contado con muchos de los mejores pilotos de la Historia de la Fórmula 1 como Michael Schumacher, Niki Lauda, Juan Manuel Fangio, Gilles Villeneuve o Fernando Alonso, entre otros. Los pilotos actuales son Sebastian Vettel y Kimi Räikkönen, y los pilotos de pruebas son Marc Gené, Davide Rigon, Jean-Éric Vergne, Esteban Gutiérrez y Antonio Giovinazzi. El director del equipo es Maurizio Arrivabene.",Ferrari
,Force India,1991,"Silverstone, UK",VJM10,0,5,1,4,"Sahara Force India Formula One Team, también conocida como Force India, es una escudería india de Fórmula 1 creada en octubre de 2007, surgida a raíz de la compra de Spyker F1 por parte del consorcio formado por el empresario de la India Vijay Mallya y por el holandés Michiel Mol, pagando 88 millones de euros para adquirir la mitad de las acciones del equipo. Participó en el Mundial de Fórmula 1 desde 2008. En octubre de 2011, la compañía India Sahara India Pariwar adquirió el 42,5% de las acciones de Force India F1 por 100 millones de $.</p>
<p>Sahara Force India F1 Team representa el incremento de participación de India en la Fórmula 1 junto con el Circuito Internacional de Buddh, que albergó el primer Gran Premio de la India en 2011, los pilotos Karun Chandhok y Narain Karthikeyan, y el Sahara India Pariwar Group.",Force
,Williams,1978,"Grove, UK",FW40,9,241,128,133,"Williams Martini Racing,1 anteriormente conocida como Williams F1 Team y tradicionalmente como Williams Grand Prix Engineering, es un equipo de Fórmula 1 creado en 1977 por Frank Williams y Patrick Head, al asociarse con Walter Wolf Racing. Todos los autos de Williams son llamados ""FW-número"", por las iniciales del fundador del equipo, Frank Williams.</p>
<p>Williams es considerado uno de los cuatro grandes equipos de la Fórmula 1, junto con Ferrari, McLaren y Mercedes Benz. La primera carrera de la escudería fue en el Gran Premio de España de 1977, cuando el equipo corrió con un chasis March y Patrick Nève como piloto. Williams comenzó a construir sus propios autos el año siguiente. El suizo Clay Regazzoni ganó la primera carrera para el equipo en el Gran Premio de Gran Bretaña de 1979, mientras que en el Gran Premio de Gran Bretaña de 1997, el canadiense Jacques Villeneuve ganó la carrera número 100 para el equipo. De esta manera, Williams se convirtió en uno de los únicos tres equipos en Fórmula 1, junto con Ferrari y el también inglés McLaren, en ganar 100 carreras.</p>
<p>Siete pilotos han sido campeones del mundo con Williams: Alan Jones, Keke Rosberg, Nelson Piquet, Nigel Mansell, Alain Prost, Damon Hill y Jacques Villeneuve. A su vez, el equipo ganó 9 títulos de contructores entre 1980 y 1997. Este fue un récord hasta que Ferrari lo superó en el año 2000.</p>
<p>Williams ha trabajado con muchos constructores de motores, pero más satisfactoriamente con Renault: Williams ganó 5 de sus 9 campeonatos de constructores con la casa francesa. Junto con Ferrari, McLaren y Renault (anteriormente Benetton), Williams es una de las cuatro estructuras que han ganado en todos los campeonatos de constructores desde 1979 a 2008 y en todos los campeonatos de pilotos desde 1984 a 2008.",Williams
,McLaren,1966,"Woking, UK",MCL32,8,391,155,154,"McLaren Racing Limited, conocida comercialmente como McLaren Honda F1 Team,1 es una escudería británica con sede en Woking (Surrey, Inglaterra), fundada en 1963 por Bruce McLaren (1937-1970). Es una de las escuderías más exitosas en la historia de la Fórmula 1, donde obtuvo 8 títulos mundiales de constructores (tercera en el historial), 12 títulos mundiales de pilotos (segunda), 182 victorias (segunda) y 483 podios (segunda).</p>
<p>Entre los pilotos más destacados en la historia de McLaren se encuentran Emerson Fittipaldi, James Hunt, Denny Hulme, Johnny Rutherford, Niki Lauda, Alain Prost, Ayrton Senna, Mika Häkkinen, David Coulthard, Kimi Raikkonen, Pedro Martínez de la Rosa, Juan Pablo Montoya, Jenson Button, Lewis Hamilton y Fernando Alonso.",McLaren
,Toro Rosso,1985,"Faenza, Italy",STR12,0,1,1,1,"La Scuderia Toro Rosso (STR) es una escudería de Fórmula 1 creada a finales de 2005, después de la compra de la escudería Minardi por parte de Red Bull. Actúa como equipo filial del equipo Red Bull Racing, formando jóvenes promesas para dar el salto a la escudería ""madre"". Sólo Sébastien Bourdais compitió con Toro Rosso sin formar parte del programa de jóvenes pilotos de Red Bull. En palabras de su jefe de equipo Franz Tost, Toro Rosso es la expresión de ""juventud, energía, dinamismo y agresividad"", lo que abarca el llevar a nuevos pilotos a la F1. Su sede radica en Faenza, Italia; pero trabajan con un túnel de viento situado en Bicester, Inglaterra.",Toro
,Haas,2016,"Kannapolis, US",VF-17,0,0,0,0,"Haas F1 Team, anteriormente conocido bajo el nombre de Haas Racing Developments (o Haas Fórmula LLC) es un equipo de carreras de Fórmula 1 construido por el copropietario del equipo Stewart-Haas Racing de la serie NASCAR Sprint Cup Series Gene Haas y que fue fundado y aprobado su entrada por la comisión de la FIA y Bernie Ecclestone en el mes de abril de 2014. El equipo debutara en el inicio de la temporada 2016. Haas Racing Developments tiene su sede en Kannapolis, Carolina del Norte, junto a las instalaciones del equipo filial de la Copa Sprint de NASCAR, el Stewart-Haas Racing, pero los dos equipos serán tratados como entidades distintas.</p>
<p>Este equipo es el primer constructor norteamericano que entra en la F1 desde el fallido proyecto del USF1 de 2010 , y el primer equipo estadounidense que compite tras el fin de la relación Haas Lola (temporadas 1985 y 1986). Con anterioridad, en la década los años 70, compitieron en la F1 Shadow Racing Cars y Penske Racing.",Haas
,Renault,1986,"Enstone, UK",R.S.17,2,52,20,13,"Renault Sport F1 Team es una escudería francesa de Fórmula 1, creada en 1977 y que retornó a la categoría para disputar la temporada 2016. Renault no participó como equipo entre 1986-2001 y 2012-2015, limitándose a suministrar motores a otros constructores. Anteriormente compitió en la Fórmula 1 como Equipe Renault Elf y con licencia francesa desde finales de los años 1970 hasta 1985, y regresó con el tradicional nombre de Renault F1 Team a partir de 2002, tras adquirir a Benetton, que a su vez compró el equipo Toleman en 1986. A su vez, en 2011 participó con licencia británica y bajo el nombre comercial de Lotus Renault GP.</p>
<p>Renault vendió el 75% del equipo a Genii Capital a finales de 2010; renombrando la escudería como Lotus Renault GP y anunciando la creación de Renault Sport F1 para el suministro de motores y tecnología a partir de 2011, el cual sigue controlando el 25% de la escudería. Luego de competir en 2011 como Renault, Genii Capital solicitó el cambio de nombre del equipo en la lista de inscriptos de 2012, luego de que Proton (actual propietaria de la marca Lotus Cars) tomara en 2012 el control del equipo, renombrándolo a Lotus F1 Team y dejando a Renault como proveedor de motores.</p>
<p>Renault consiguió dos títulos de campeón de pilotos (con Fernando Alonso) y dos títulos como campeón de constructores, ambos en 2005 y 2006.",Renault
,Sauber,1993,"Hinwill, Switzerland",C36,0,26,1,5,"Sauber F1 Team (anteriormente denominada Sauber Petronas y Sauber Motorsport) es una escudería de Fórmula 1 con base en Hinwil, Suiza. Su nombre se debe al dueño y ex director de la escudería, Peter Sauber. La primera temporada en la que el equipo compitió en la categoría fue la de 1993, y en 2005 fue vendido a BMW, que se lo devolvió a Peter Sauber al acabar la temporada 2009, quien finalmente lo vendió a Longbow Finace, S.A., a la mitad de la temporada del 2016 después de muchas especulaciones sobre la situación financiera del equipo.</p>
<p>Antes de su ingreso a la Fórmula 1, Sauber participó en otras categorías, como por ejemplo en los campeonatos suizo e internacional y en el Campeonato Mundial de Resistencia, donde consiguió una gran victoria en las 24 horas de Le Mans de 1989 y el título mundial en esa temporada (1989) y en la siguiente (1990).",Sauber
